data,seguro desemprego,abono salarial,bolsa família,saldo,presidente,pedalada
jan.94,13059305.52,25872677.25,0.00,38931982.77,Itamar,não
fev.94,-15401683.11,16600735.48,0.00,1199052.37,Itamar,não
mar.94,5548762.15,28085120.91,0.00,33633883.06,Itamar,não
abr.94,12455872.37,21465266.54,0.00,33921138.91,Itamar,não
mai.94,15847627.45,21464242.28,0.00,37311869.73,Itamar,não
jun.94,16150619.12,21464090.26,0.00,37614709.38,Itamar,não
jul.94,33863948.85,21464090.25,0.00,55328039.10,Itamar,não
ago.94,24300470.00,21464090.25,0.00,45764560.25,Itamar,não
set.94,106695584.89,21464090.25,0.00,128159675.14,Itamar,não
out.94,-21477117.87,0.00,0.00,-21477117.87,Itamar,sim
nov.94,51722093.71,156122542.44,0.00,207844636.15,Itamar,não
dez.94,148855019.36,122019696.62,0.00,270874715.98,Itamar,não
jan.95,12657517.16,41174304.54,0.00,53831821.70,FHC,não
fev.95,77191874.04,129782137.58,0.00,206974011.62,FHC,não
mar.95,83312479.49,157741205.86,0.00,241053685.35,FHC,não
abr.95,118292332.03,145495286.30,0.00,263787618.33,FHC,não
mai.95,313410828.84,132522073.04,0.00,445932901.88,FHC,não
jun.95,188307505.14,132521420.11,0.00,320828925.25,FHC,não
jul.95,174086758.31,132521420.11,0.00,306608178.42,FHC,não
ago.95,334913306.37,132521420.11,0.00,467434726.48,FHC,não
set.95,275475491.27,132090001.89,0.00,407565493.16,FHC,não
out.95,377995666.98,0.00,0.00,377995666.98,FHC,não
nov.95,377537573.90,250443500.00,0.00,627981073.90,FHC,não
dez.95,336771911.30,230140955.02,0.00,566912866.32,FHC,não
jan.96,45940336.85,183810543.39,0.00,229750880.24,FHC,não
fev.96,21225028.26,140774009.02,0.00,161999037.28,FHC,não
mar.96,207503995.43,118814999.93,0.00,326318995.36,FHC,não
abr.96,83883147.29,106769008.12,0.00,190652155.41,FHC,não
mai.96,87149156.48,114696641.00,0.00,201845797.48,FHC,não
jun.96,66978199.77,115910476.99,0.00,182888676.76,FHC,não
jul.96,140755354.24,116006270.80,0.00,256761625.04,FHC,não
ago.96,69454831.01,0.00,0.00,69454831.01,FHC,não
set.96,-3388269.13,0.00,0.00,-3388269.13,FHC,sim
out.96,179308728.43,166246947.65,0.00,345555676.08,FHC,não
nov.96,195087107.83,251889999.25,0.00,446977107.08,FHC,não
dez.96,66862527.27,202427136.85,0.00,269289664.12,FHC,não
jan.97,196560958.75,120971424.47,0.00,317532383.22,FHC,não
fev.97,230297039.12,40902057.43,0.00,271199096.55,FHC,não
mar.97,208887074.81,129240669.57,0.00,338127744.38,FHC,não
abr.97,183776952.62,114227537.83,0.00,298004490.45,FHC,não
mai.97,54443025.12,179214680.23,0.00,233657705.35,FHC,não
jun.97,100386955.52,131768627.49,0.00,232155583.01,FHC,não
jul.97,108835960.92,131768214.67,0.00,240604175.59,FHC,não
ago.97,97640499.51,131557609.81,0.00,229198109.32,FHC,não
set.97,125687530.20,197642228.57,0.00,323329758.77,FHC,não
out.97,96600555.58,190703553.06,0.00,287304108.64,FHC,não
nov.97,121872003.93,273032606.34,0.00,394904610.27,FHC,não
dez.97,154523465.53,121557674.06,0.00,276081139.59,FHC,não
jan.98,198763365.69,28169585.34,0.00,226932951.03,FHC,não
fev.98,236611366.16,71672142.06,0.00,308283508.22,FHC,não
mar.98,428731941.36,48372852.18,0.00,477104793.54,FHC,não
abr.98,317175494.43,40748440.08,0.00,357923934.51,FHC,não
mai.98,285679848.14,25598640.39,0.00,311278488.53,FHC,não
jun.98,600858930.42,24467058.25,0.00,625325988.67,FHC,não
jul.98,118221435.52,24467058.25,0.00,142688493.77,FHC,não
ago.98,190069204.61,134252674.40,0.00,324321879.01,FHC,não
set.98,171491930.55,123045127.56,0.00,294537058.11,FHC,não
out.98,147761805.99,182588022.32,0.00,330349828.31,FHC,não
nov.98,163011395.18,105677295.72,0.00,268688690.90,FHC,não
dez.98,212401967.82,40574650.76,0.00,252976618.58,FHC,não
jan.99,124254650.97,70282922.22,0.00,194537573.19,FHC,não
fev.99,210798483.47,24995778.08,0.00,235794261.55,FHC,não
mar.99,240854145.99,69174756.80,0.00,310028902.79,FHC,não
abr.99,248434889.78,47960136.68,0.00,296395026.46,FHC,não
mai.99,292976366.91,47764349.90,0.00,340740716.81,FHC,não
jun.99,363619055.14,47763068.60,0.00,411382123.74,FHC,não
jul.99,164780369.82,47740249.91,0.00,212520619.73,FHC,não
ago.99,141039369.13,115503606.23,0.00,256542975.36,FHC,não
set.99,204100367.68,155368408.94,0.00,359468776.62,FHC,não
out.99,188240232.85,59539817.07,0.00,247780049.92,FHC,não
nov.99,162437203.66,4894059.87,0.00,167331263.53,FHC,não
dez.99,174848797.24,29871725.04,0.00,204720522.28,FHC,não
jan.00,213070593.96,37314969.42,0.00,250385563.38,FHC,não
fev.00,207779822.29,47321163.52,0.00,255100985.81,FHC,não
mar.00,258608866.57,22724013.78,0.00,281332880.35,FHC,não
abr.00,25243472.87,71737139.33,0.00,96980612.20,FHC,não
mai.00,42070340.06,71349020.28,0.00,113419360.34,FHC,não
jun.00,104982792.88,71342407.35,0.00,176325200.23,FHC,não
jul.00,92104158.72,121161228.95,0.00,213265387.67,FHC,não
ago.00,78951777.71,65965516.64,0.00,144917294.35,FHC,não
set.00,84504408.41,64413603.74,0.00,148918012.15,FHC,não
out.00,54996086.58,69229517.10,0.00,124225603.68,FHC,não
nov.00,52594426.21,1707155.00,0.00,54301581.21,FHC,não
dez.00,116466474.37,11422097.91,0.00,127888572.28,FHC,não
jan.01,123245551.54,29013091.39,0.00,152258642.93,FHC,não
fev.01,15508863.16,82380648.65,0.00,97889511.81,FHC,não
mar.01,111491328.96,45908540.37,0.00,157399869.33,FHC,não
abr.01,15517748.61,18194798.99,0.00,33712547.60,FHC,não
mai.01,177187410.59,18189534.79,0.00,195376945.38,FHC,não
jun.01,43167047.16,18189734.53,0.00,61356781.69,FHC,não
jul.01,-12582854.20,119668726.70,0.00,107085872.50,FHC,não
ago.01,79824302.29,32936968.27,0.00,112761270.56,FHC,não
set.01,106065959.80,-18569337.48,0.00,87496622.32,FHC,não
out.01,44605395.67,30290691.52,0.00,74896087.19,FHC,não
nov.01,143877783.56,-24798582.64,0.00,119079200.92,FHC,não
dez.01,151298962.56,-22274239.12,0.00,129024723.44,FHC,não
jan.02,-98832748.25,29541219.50,0.00,-69291528.75,FHC,sim
fev.02,95771546.37,16025909.26,0.00,111797455.63,FHC,não
mar.02,-298703.42,67498124.26,0.00,67199420.84,FHC,não
abr.02,-171492856.74,56012592.10,0.00,-115480264.64,FHC,sim
mai.02,87965466.54,52092669.54,0.00,140058136.08,FHC,não
jun.02,-293879831.83,48805084.40,0.00,-245074747.43,FHC,sim
jul.02,126482193.26,166425554.12,0.00,292907747.38,FHC,não
ago.02,213400169.58,119759345.96,0.00,333159515.54,FHC,não
set.02,220558023.42,114393191.32,0.00,334951214.74,FHC,não
out.02,290587584.44,155009079.22,0.00,445596663.66,FHC,não
nov.02,242007439.29,22932098.88,0.00,264939538.17,FHC,não
dez.02,261229771.75,51102534.26,0.00,312332306.01,FHC,não
jan.03,310621705.75,30811189.26,0.00,341432895.01,Lula,não
fev.03,208400854.86,52828755.49,0.00,261229610.35,Lula,não
mar.03,114358739.97,34794448.21,0.00,149153188.18,Lula,não
abr.03,30974355.85,42864289.97,0.00,73838645.82,Lula,não
mai.03,267596005.37,27648712.53,0.00,295244717.90,Lula,não
