ano,periodo,data,mes,BB,FINAME,CAIXA,FGTS,total
2015,Jan.2015,2015-01,Jan,13843,18177,2117,19629,53767
2015,Fev.2015,2015-02,Fev,14251,18755,2195,19711,54912
2015,Mar.2015,2015-03,Mar,14890,19419,2445,19803,56557
2015,Abr.2015,2015-04,Abr,14665,19031,2655,19889,56240
2015,Mai.2015,2015-05,Mai,15111,19756,2648,19953,57468
2015,Jun.2015,2015-06,Jun,15592,19096,2746,20035,57469
2015,Jul.2015,2015-07,Jul,13084,18251,2825,19962,54122
2015,Ago.2015,2015-08,Ago,13448,19031,2941,19900,55320
2015,Set.2015,2015-09,Set,13581,19753,2887,20162,56383
2015,Out.2015,2015-10,Out,13672,20559,2514,20176,56921
2015,Nov.2015,2015-11,Nov,14359,21336,2554,20436,58684
2014,Jan.2014,2014-01,Jan,8146,11501,1508,13462,34617
2014,Fev.2014,2014-02,Fev,8547,11965,3699,14056,38266
2014,Mar.2014,2014-03,Mar,9212,12480,3219,14577,39489
2014,Abr.2014,2014-04,Abr,8771,12999,3406,15170,40346
2014,Mai.2014,2014-05,Mai,9267,13537,5175,15661,43641
2014,Jun.2014,2014-06,Jun,9740,14112,5354,16165,45371
2014,Jul.2014,2014-07,Jul,10247,14646,7368,16673,48934
2014,Ago.2014,2014-08,Ago,10782,15188,1806,17164,44940
2014,Set.2014,2014-09,Set,11337,15719,1912,17724,46692
2014,Out.2014,2014-10,Out,11866,16277,1959,18278,48380
2014,Nov.2014,2014-11,Nov,12444,16822,2037,18753,50056
2014,Dez.2014,2014-12,Dez,13180,17521,2116,19418,52236
2013,Jan.2013,2013-01,Jan,4636,6751,1133,7604,20125
2013,Fev.2013,2013-02,Fev,4942,6989,1181,8059,21172
2013,Mar.2013,2013-03,Mar,4786,7310,1209,8489,21794
2013,Abr.2013,2013-04,Abr,4550,7614,1214,8424,21802
2013,Mai.2013,2013-05,Mai,4896,7959,1245,8916,23016
2013,Jun.2013,2013-06,Jun,5202,8320,1207,9104,23833
2013,Jul.2013,2013-07,Jul,5566,8673,1477,9594,25310
2013,Ago.2013,2013-08,Ago,5892,8815,3380,10081,28169
2013,Set.2013,2013-09,Set,6314,9270,2912,10542,29038
2013,Out.2013,2013-10,Out,6727,9967,4115,11050,31859
2013,Nov.2013,2013-11,Nov,7204,10423,2545,11556,31729
2013,Dez.2013,2013-12,Dez,7707,11010,4403,12951,36071
2012,Jan.2012,2012-01,Jan,2719,4450,1079,3288,11537
2012,Fev.2012,2012-02,Fev,2962,4666,1199,3525,12352
2012,Mar.2012,2012-03,Mar,3089,4894,1155,3687,12825
2012,Abr.2012,2012-04,Abr,2383,4942,1133,4107,12565
2012,Mai.2012,2012-05,Mai,2475,4938,1189,4472,13074
2012,Jun.2012,2012-06,Jun,2750,5128,1109,4839,13827
2012,Jul.2012,2012-07,Jul,2842,5330,1337,5189,14699
2012,Ago.2012,2012-08,Ago,3128,5541,1171,5640,15480
2012,Set.2012,2012-09,Set,3401,5754,1387,6016,16559
2012,Out.2012,2012-10,Out,3586,5978,1231,6446,17242
2012,Nov.2012,2012-11,Nov,3895,6191,1583,6764,18431
2012,Dez.2012,2012-12,Dez,4378,6500,1642,7217,19737
