id,value,region
Afeganistão,40,Asia
Africa do Sul,24.5,Africa
Albânia,17.7,Europa
Alemanha,4.2,Europa
Angola,26,Africa
Arábia Saudita,5.6,Asia
Argélia,11.2,Africa
Argentina,5.9,Americas
Armênia,19.6,Asia
Austrália,5.7,Oceania
Áustria,9.4,Europa
Azerbaijão,5,Asia
Bahamas,15.7,Americas
Bahrain,3.7,Asia
Bangladesh,4.3,Asia
Barbados,11.3,Americas
Belarus,1,Europa
Bélgica,8.5,Europa
Belize,11.1,Americas
Benin,1,Africa
Bolívia,7.4,Americas
Bósnia e Herzegovina,42.76,Europa
Botswana,20,Africa
Brasil,10.9,Comparativo
Brunei,6.9,Asia
Bulgária,9.88,Europa
Burkina Faso,6.6,Africa
Burundi,7.7,Africa
Butão,2.6,Asia
Cabo Verde,15.8,Africa
Camarões,4,Africa
Camboja,0.3,Asia
Canadá,7.1,Americas
Catar,0.2,Asia
Cazaquistão,5.1,Asia
Chade,7.8,Africa
Chile,6.3,Americas
China,4.05,Asia
Chipre,12.1,Asia
Cingapura,1.9,Asia
Colômbia,10.1,Americas
Comores,7,Africa
Congo,46.1,Africa
Coreia do Norte,4.1,Asia
Coreia do Sul,3.8,Asia
Costa do Marfim,5.3,Africa
Costa Rica,9.6,Americas
Croácia,17.2,Europa
Cuba,2.7,Americas
Dinamarca,4.2,Europa
Djibouti,54,Africa
Egito,12.77,Africa
El Salvador,7,Americas
Emirados Árabes Unidos,4.2,Asia
Equador,5.65,Americas
Eritreia,14.5,Africa
Eslováquia,9.9,Europa
Eslovênia,12.6,Europa
Espanha,21,Europa
Estados Unidos,5,Americas
Estônia,6.4,Europa
Etiópia,16.8,Africa
Fiji,7.9,Oceania
Filipinas,5.8,Asia
Finlândia,10.1,Europa
França,10.3,Europa
Gabão,16,Africa
Gâmbia,22,Africa
Gana,5.2,Africa
Georgia,12.4,Asia
Grécia,24.4,Europa
Guatemala,2.9,Americas
Guiana,21,Americas
Guiné,3.8,Africa
Guiné Equatorial,22.3,Africa
Guiné-Bissau,1.8,Africa
Haiti,40.6,Americas
Holanda,6.4,Europa
Honduras,4.3,Americas
Hong Kong,3.4,Asia
Hungria,6,Europa
Iémen,29,Asia
Ilhas Cayman,5.6,Americas
Índia,4.9,Asia
Indonésia,6.18,Asia
Irã,11.8,Asia
Iraque,16.4,Asia
Irlanda,8.6,Europa
Islândia,3.3,Europa
Israel,5.3,Asia
Itália,11.4,Europa
Jamaica,13.1,Americas
Japão,3.2,Asia
Jordânia,13.6,Asia
Kosovo,35.3,Europa
Kuweit,3.5,Asia
Laos,1.4,Asia
Lesoto,25.3,Africa
Letônia,9.8,Europa
Líbano,6.4,Asia
Libéria,3.8,Africa
Líbia,19.5,Africa
Liechtenstein,2.4,Europa
Lituânia,8.9,Europa
Luxemburgo,6.5,Europa
Macau,1.9,Asia
Macedónia,24.62,Europa
Madagáscar,1.2,Africa
MalAsia,3.4,Asia
Malawi,6.6,Africa
Maldivas,11.6,Asia
Mali,8.2,Africa
Malta,5.2,Europa
Marrocos,9.5,Africa
Mauritânia,12.85,Africa
Mauritius,7.9,Africa
México,3.7,Americas
Moçambique,17,Africa
Moldova,4.2,Europa
Mongólia,8.3,Asia
Montenegro,18.28,Europa
Myanmar,4.02,Asia
Namíbia,28.1,Africa
Nepal,2.7,Asia
Nicarágua,6.8,Americas
Níger,2.25,Africa
Nigéria,10.4,Africa
Noruega,4.6,Europa
Nova Caledônia,13.8,Oceania
Nova Zelândia,5.3,Oceania
Omã,15,Asia
Palestina,25.8,Asia
Panamá,2.5,Americas
Papua Nova Guiné,2.5,Oceania
Paquistão,5.9,Asia
Paraguai,5.8,Americas
Peru,7.2,Americas
Polônia,10,Europa
Porto Rico,11.8,Americas
Portugal,12.2,Europa
Quênia,40,Africa
Quirguistão,2.2,Asia
Reino Unido,5.1,Europa
República Centro-Africana,7.6,Africa
República Checa,6.1,Europa
República do Congo,26.6,Africa
República Dominicana,14,Americas
Romênia,6.4,Europa
Ruanda,3.4,Africa
Rússia,6,Europa
São Tomé e Príncipe,13.6,Africa
Senegal,13.4,Africa
Serra Leoa,3.3,Africa
Sérvia,17.9,Europa
Seychelles,4.7,Africa
Síria,14.9,Asia
Sri Lanka,4.3,Asia
Suazilândia,28.5,Africa
Sudão,19.5,Africa
Sudão do Sul,12,Africa
Suécia,7.7,Europa
Suíça,3.6,Europa
Suriname,8.9,Americas
Tailândia,1.04,Asia
Taiwan,3.92,Asia
Tajiquistão,2.4,Asia
Tanzânia,10.3,Africa
Timor Leste,11,Asia
Togo,6.9,Africa
Trinidad e Tobago,3.4,Americas
Tunísia,15.4,Africa
Turcomenistão,10.5,Asia
Turquia,11.1,Europa
Ucrânia,9.9,Europa
Uganda,3.8,Africa
União Européia,8.8,Europa
Uruguai,8,Americas
Uzbequistão,10.7,Asia
Venezuela,6,Americas
Vietnã,2.31,Asia
Zâmbia,13.3,Africa
Zimbábue,11.3,Africa
Zona do Euro,10.2,Europa
MEDIANA,7.7,Comparativo
