id,value,region
Afeganistão,6.6,Asia
Africa do Sul,50.1,Africa
Albânia,72.13,Europa
Alemanha,71.2,Europa
Angola,31,Africa
Arábia Saudita,1.6,Asia
Argélia,8.76,Africa
Argentina,48.4,Americas
Armênia,42.23,Asia
Austrália,33.88,Oceania
Áustria,86.2,Europa
Azerbaijão,16,Asia
Bahamas,73.4,Americas
Bahrain,42,Asia
Bangladesh,18,Asia
Belarus,23.6,Europa
Bélgica,106,Europa
Belize,66.3,Americas
Benin,18.3,Africa
Bolívia,32.4,Americas
Bósnia e Herzegovina,30.4,Europa
Botswana,23.1,Africa
Brasil,66.23,Comparativo
Brunei,2.3,Asia
Bulgária,29.3,Europa
Burkina Faso,28.3,Africa
Burundi,14.2,Africa
Butão,98.9,Asia
Cabo Verde,114.22,Africa
Camarões,19.9,Africa
Camboja,33.88,Asia
Canadá,86.51,Americas
Catar,31.48,Asia
Cazaquistão,23.3,Asia
Chade,23.8,Africa
Chile,17.5,Americas
China,43.9,Asia
Chipre,108.9,Asia
Cingapura,104.7,Asia
Colômbia,38,Americas
Comores,25.4,Africa
Congo,19.69,Africa
Coreia do Sul,35.98,Asia
Costa do Marfim,36.41,Africa
Costa Rica,58.32,Americas
Croácia,86.7,Europa
Cuba,17.1,Americas
Dinamarca,40.2,Europa
Djibouti,44.56,Africa
Egito,90.5,Africa
El Salvador,62.38,Americas
Emirados Árabes Unidos,15.68,Asia
Equador,29.8,Americas
Eritreia,45,Africa
Eslováquia,52.9,Europa
Eslovênia,83.2,Europa
Espanha,99.2,Europa
Estados Unidos,104.17,Americas
Estônia,9.7,Europa
Etiópia,28.6,Africa
Fiji,50.6,Oceania
Filipinas,45.05,Asia
Finlândia,63.1,Europa
França,95.8,Europa
Gabão,27.7,Africa
Gâmbia,47.7,Africa
Gana,67.6,Africa
Georgia,36.8,Asia
Grécia,176.9,Europa
Guatemala,24.31,Americas
Guiana,65.8,Americas
Guiné,20.81,Africa
Guiné Equatorial,7.6,Africa
Guiné-Bissau,30.8,Africa
Haiti,26.45,Americas
Holanda,65.1,Europa
Honduras,42.63,Americas
Hong Kong,32,Asia
Hungria,75.3,Europa
Iémen,49.95,Asia
Ilhas Cayman,19.5,Americas
Índia,66.4,Asia
Indonésia,27,Asia
Irã,16.36,Asia
Iraque,37.02,Asia
Irlanda,93.8,Europa
Islândia,82.4,Europa
Israel,64.8,Asia
Itália,132.7,Europa
Jamaica,132.72,Americas
Japão,229.2,Asia
Jordânia,89,Asia
Kosovo,12.98,Europa
Kuweit,6.9,Asia
Laos,44.48,Asia
Lesoto,45.8,Africa
Letônia,36.4,Europa
Líbano,134.41,Asia
Libéria,33.2,Africa
Líbia,6.1,Africa
Lituânia,42.7,Europa
Luxemburgo,21.4,Europa
Macedónia,45.9,Europa
Madagáscar,34.9,Africa
MalAsia,54,Asia
Malawi,18,Africa
Maldivas,20.4,Asia
Malta,63.9,Europa
Marrocos,63.89,Africa
Mauritânia,66.9,Africa
Mauritius,61.6,Africa
México,30.7,Americas
Moçambique,55.4,Africa
Moldova,24.6,Europa
Mongólia,51.7,Asia
Montenegro,61.4,Europa
Myanmar,31.6,Asia
Namíbia,24.6,Africa
Nepal,28.8,Asia
Nicarágua,45.3,Americas
Níger,24.8,Africa
Nigéria,10.5,Africa
Noruega,31.6,Europa
Nova Zelândia,30.43,Oceania
Omã,4.8,Asia
Palestina,17.3,Asia
Panamá,45.6,Americas
Papua Nova Guiné,38.8,Oceania
Paquistão,64.8,Asia
Paraguai,19.05,Americas
Peru,20.7,Americas
Polônia,51.3,Europa
Portugal,129,Europa
Quênia,52.8,Africa
Quirguistão,55.2,Asia
Reino Unido,89.2,Europa
República Centro-Africana,41.83,Africa
República Checa,41.1,Europa
República do Congo,34,Africa
República Dominicana,45.79,Americas
Romênia,38.4,Europa
Ruanda,28,Africa
Rússia,17.92,Europa
São Tomé e Príncipe,68.23,Africa
Senegal,35.2,Africa
Serra Leoa,37.65,Africa
Sérvia,73.4,Europa
Seychelles,60,Africa
Síria,30.01,Asia
Sri Lanka,75.5,Asia
Suazilândia,9.9,Africa
Sudão,79,Africa
Suécia,43.4,Europa
Suíça,34.4,Europa
Suriname,26.2,Americas
Tailândia,45.7,Asia
Taiwan,36.5,Asia
Tajiquistão,28.34,Asia
Tanzânia,39.9,Africa
Togo,20.8,Africa
Trinidad e Tobago,41.6,Americas
Tunísia,47.5,Africa
Turcomenistão,16.8,Asia
Turquia,32.9,Europa
Ucrânia,71.21,Europa
Uganda,34.7,Africa
União Européia,85.2,Europa
Uruguai,62.8,Asia
Uzbequistão,8.7,Asia
Venezuela,49.8,Americas
Vietnã,50.5,Asia
Zâmbia,31,Africa
Zimbábue,77,Africa
Zona do Euro,90.7,Europa
MEDIANA,40.65,Comparativo
