date	dolarc	dolarv
20140314	2.3631	2.3638
20140317	2.3513	2.3518
20140318	2.3516	2.3522
20140319	2.3333	2.3338
20140320	2.3414	2.342
20140321	2.3239	2.3245
20140324	2.3242	2.3248
20140325	2.3118	2.3124
20140326	2.3113	2.3119
20140327	2.2824	2.283
20140328	2.2597	2.2603
20140331	2.2624	2.263
20140401	2.2614	2.262
20140402	2.2705	2.2711
20140403	2.2805	2.2811
20140404	2.2414	2.242
20140407	2.232	2.2326
20140408	2.1968	2.1974
20140409	2.2105	2.2111
20140410	2.1982	2.1987
20140411	2.2053	2.2059
20140414	2.209	2.2096
20140415	2.2251	2.2257
20140416	2.2336	2.2342
20140417	2.2476	2.2482
20140422	2.2443	2.2449
20140423	2.242	2.2426
20140424	2.2223	2.2229
20140425	2.2319	2.2325
20140428	2.2364	2.237
20140429	2.2193	2.2199
20140430	2.2354	2.236
20140502	2.2215	2.2221
20140505	2.228	2.2286
20140506	2.2316	2.2322
20140507	2.2276	2.2282
20140508	2.2101	2.2107
20140509	2.2186	2.2192
20140512	2.2158	2.2164
20140513	2.2095	2.2101
20140514	2.2123	2.2129
20140515	2.216	2.2166
20140516	2.2104	2.211
20140519	2.2105	2.2111
20140520	2.215	2.2156
20140521	2.2105	2.2111
20140522	2.2125	2.2131
20140523	2.2181	2.2187
20140526	2.2203	2.2209
20140527	2.2348	2.2354
20140528	2.2399	2.2405
20140529	2.2245	2.2251
20140530	2.2384	2.239
20140602	2.2634	2.264
20140603	2.2648	2.2654
20140604	2.2796	2.2802
20140605	2.2689	2.2695
20140606	2.2439	2.2445
20140609	2.233	2.2336
20140610	2.229	2.2296
20140611	2.2301	2.2307
20140612	2.2298	2.2306
20140613	2.2341	2.2347
20140616	2.2307	2.2313
20140617	2.248	2.2486
20140618	2.2528	2.2534
20140620	2.2374	2.238
20140623	2.2189	2.2195
20140624	2.2211	2.2217
20140625	2.2046	2.2052
20140626	2.2083	2.2089
20140627	2.1969	2.1975
20140630	2.2019	2.2025
20140701	2.2048	2.2054
20140702	2.2127	2.2134
20140703	2.2275	2.2281
20140704	2.2143	2.2149
20140707	2.2195	2.2201
20140708	2.2144	2.215
20140709	2.2128	2.2139
20140710	2.2231	2.2237
20140711	2.2222	2.2228
20140714	2.217	2.2176
20140715	2.2189	2.2195
20140716	2.2187	2.2193
20140717	2.2397	2.2403
20140718	2.2356	2.2362
20140721	2.2232	2.2238
20140722	2.2123	2.2129
20140723	2.2196	2.2202
20140724	2.2198	2.2204
20140725	2.2287	2.2293
20140728	2.2296	2.2302
20140729	2.2272	2.2278
20140730	2.2441	2.2447
20140731	2.2668	2.2674
20140801	2.26	2.2607
20140804	2.2571	2.2577
20140805	2.275	2.2756
20140806	2.2784	2.279
20140807	2.2796	2.2802
20140808	2.298	2.2986
20140811	2.2773	2.2779
20140812	2.2764	2.277
20140813	2.2686	2.2692
20140814	2.2697	2.2703
20140815	2.2684	2.269
20140818	2.2589	2.2595
20140819	2.2581	2.2587
20140820	2.2544	2.255
20140821	2.2576	2.2582
20140822	2.2772	2.2778
20140825	2.2802	2.2808
20140826	2.2742	2.2748
20140827	2.2585	2.2591
20140828	2.2493	2.2499
20140829	2.239	2.2396
20140901	2.2358	2.2364
20140902	2.2515	2.2521
20140903	2.2313	2.2319
20140904	2.235	2.2356
20140905	2.241	2.2416
20140908	2.2485	2.2491
20140909	2.2807	2.2813
20140910	2.2961	2.2967
20140911	2.2874	2.288
20140912	2.3244	2.3251
20140915	2.3395	2.3401
20140916	2.3345	2.3351
20140917	2.3378	2.3384
20140918	2.3661	2.3668
20140919	2.365	2.3656
20140922	2.3864	2.387
20140923	2.402	2.4026
20140924	2.4064	2.407
20140925	2.4078	2.4085
20140926	2.4304	2.431
20140929	2.4516	2.4522
20140930	2.4504	2.451
20141001	2.4617	2.4623
20141002	2.4779	2.4785
20141003	2.4926	2.4932
20141006	2.4092	2.4098
20141007	2.4032	2.4038
20141008	2.4065	2.4072
20141009	2.3908	2.3914
20141010	2.4096	2.4103
20141013	2.3917	2.3923
20141014	2.3985	2.3991
20141015	2.431	2.4316
20141016	2.4763	2.477
20141017	2.447	2.4477
20141020	2.4548	2.4554
