date,value
2015-3-13,3.2258
2016-1-4,4.038
2015-11-30,3.8499
2015-8-26,3.632
2015-5-4,3.0748
2015-9-29,4.1165
2015-3-4,2.9798
2014-12-16,2.7397
2015-1-30,2.6617
2015-7-23,3.2844
2015-10-13,3.8243
2015-12-11,3.8541
2015-9-24,4.1942
2015-9-10,3.8691
2015-6-11,3.1508
2014-10-27,2.5335
2015-3-9,3.1012
2014-11-28,2.5595
2015-9-21,3.9815
2015-12-21,3.9825
2015-4-30,2.993
2015-8-31,3.6461
2015-10-21,3.938
2014-10-16,2.4763
2015-5-25,3.1206
2015-11-12,3.799
2015-2-11,2.857
2015-8-24,3.5488
2016-1-21,4.1552
2015-12-16,3.9351
2015-11-25,3.7682
2014-11-3,2.4833
2014-9-12,2.3244
2015-9-2,3.7307
2015-6-5,3.1677
2014-11-14,2.6129
2015-9-28,4.0093
2014-11-7,2.5715
2015-9-23,4.1034
2015-9-22,4.0419
2015-10-19,3.9009
2015-4-29,2.9369
2015-7-8,3.2275
2015-7-17,3.1826
2015-3-6,3.036
2015-12-30,3.9042
2015-9-17,3.8915
2014-11-4,2.5189
2014-9-9,2.2807
2015-8-3,3.4419
2015-8-6,3.5341
2015-3-26,3.1909
2016-1-20,4.0855
2015-3-3,2.9045
2015-1-2,2.6923
2015-10-27,3.9108
2015-10-29,3.9321
2014-10-15,2.431
2014-10-31,2.4436
2015-3-17,3.2677
2014-12-11,2.6265
2015-5-27,3.1734
2015-12-14,3.9017
2015-7-24,3.3248
2014-9-18,2.3661
2015-10-8,3.8511
2015-7-7,3.1803
2015-9-3,3.7753
2015-12-8,3.7915
2015-5-22,3.0647
2016-2-10,3.9406
2014-6-2,2.2634
2014-12-12,2.6552
2015-4-10,3.0789
2015-3-27,3.2253
2015-3-30,3.2595
2015-6-19,3.0782
2015-2-2,2.6888
2014-7-31,2.2668
2016-2-19,4.0486
2014-11-11,2.5638
2015-7-20,3.2143
2014-10-21,2.4791
2015-4-7,3.1225
2015-4-17,3.0538
2015-7-15,3.1526
2016-1-28,4.0832
2014-7-17,2.2397
2014-12-23,2.6769
2014-9-26,2.4304
2015-2-6,2.7635
2015-6-23,3.1036
2015-7-27,3.3551
2015-3-10,3.1293
2014-9-22,2.3864
2016-1-14,4.0217
2014-10-23,2.4998
2015-7-22,3.2088
2015-2-5,2.738
2014-9-29,2.4516
2014-8-22,2.2772
2015-7-31,3.3934
2015-5-18,3.0139
2015-2-9,2.7867
2016-2-5,3.8969
2015-11-16,3.833
2015-6-26,3.1265
2016-2-16,4.0207
2014-8-8,2.298
2014-8-5,2.275
2014-10-10,2.4096
2014-6-17,2.248
2015-7-28,3.3808
2014-7-30,2.2441
2014-12-4,2.5791
2014-4-15,2.2251
2015-8-4,3.4669
2014-4-30,2.2354
2015-2-10,2.8069
2015-8-13,3.5068
2015-9-1,3.6719
2015-5-12,3.0382
2014-9-2,2.2515
2015-4-13,3.1005
2015-5-11,3.0169
2015-7-30,3.3646
2014-11-13,2.5719
2014-9-10,2.2961
2015-10-14,3.8501
2014-7-3,2.2275
2015-1-5,2.7101
2015-8-28,3.5784
2014-10-2,2.4779
2014-9-23,2.402
2014-6-4,2.2796
2014-5-27,2.2348
2014-9-15,2.3395
2015-1-29,2.5954
2014-4-17,2.2476
2016-2-12,3.9884
2014-5-30,2.2384
2014-11-6,2.5319
2014-4-9,2.2105
2015-12-1,3.8739
2015-2-3,2.7053
2015-11-23,3.7224
2015-9-4,3.798
2014-12-15,2.6711
2014-10-3,2.4926
2016-2-11,3.9636
2016-2-29,3.979
2015-11-5,3.7887
2016-2-24,3.9894
2015-2-20,2.8694
2015-10-2,4.0003
2015-7-1,3.1185
2015-6-25,3.1009
2015-3-25,3.1469
2015-7-6,3.1425
2015-8-5,3.4844
2016-1-6,4.0297
2014-7-10,2.2231
2015-5-19,3.0278
2014-10-1,2.4617
2016-2-26,3.9571
2015-5-26,3.1345
2016-1-15,4.0396
2014-4-3,2.2805
2015-11-6,3.8053
2014-4-25,2.2319
2016-1-7,4.0469
2015-3-5,2.9925
2015-1-26,2.596
2015-1-8,2.6913
2015-8-21,3.489
2015-2-19,2.8539
2014-4-2,2.2705
2014-7-25,2.2287
2015-1-23,2.585
2015-2-23,2.8805
2014-5-9,2.2186
2014-4-16,2.2336
2015-3-19,3.2635
2015-6-29,3.1383
2016-1-12,4.0293
2014-12-9,2.601
2014-7-2,2.2127
2014-12-5,2.5882
2014-3-20,2.3414
2015-12-18,3.9056
2014-9-8,2.2485
2014-7-23,2.2196
2015-2-4,2.7142
2014-4-11,2.2053
2014-10-20,2.4548
2015-7-3,3.1265
2016-3-1,3.9907
2014-5-5,2.228
2014-10-14,2.3985
2015-2-26,2.8721
2015-12-10,3.7679
2015-1-16,2.6187
2014-9-5,2.241
2016-2-17,4.0312
2015-9-18,3.9015
2014-5-23,2.2181
2015-10-16,3.8432
2014-7-7,2.2195
2014-5-28,2.2399
2014-6-30,2.2019
2014-6-18,2.2528
2015-5-20,3.034
2014-5-20,2.215
2014-4-28,2.2364
2014-12-24,2.6822
2015-2-27,2.8777
2014-6-13,2.2341
2015-1-19,2.6237
2015-8-18,3.4805
2014-9-24,2.4064
2015-2-12,2.8619
2014-6-26,2.2083
2014-4-14,2.209
2014-5-15,2.216
2016-2-23,3.9678
2015-10-1,3.9788
2014-9-4,2.235
2014-5-6,2.2316
2014-12-2,2.5658
2014-12-22,2.652
2014-8-6,2.2784
2015-6-16,3.1076
2014-8-21,2.2576
2014-9-17,2.3378
2015-11-10,3.7975
2015-2-18,2.8424
2014-10-8,2.4065
2014-12-8,2.5917
2014-8-25,2.2802
2014-7-1,2.2048
2014-5-14,2.2123
2015-5-29,3.1781
2014-3-31,2.2624
2015-8-19,3.4843
2015-9-8,3.8021
2014-5-26,2.2203
2014-6-24,2.2211
2014-5-22,2.2125
2014-12-1,2.5618
2014-7-15,2.2189
2015-11-13,3.8016
2014-6-3,2.2648
2014-9-25,2.4078
2014-8-7,2.2796
2014-6-11,2.2301
2014-8-14,2.2697
2015-8-11,3.4919
2014-7-28,2.2296
2015-3-12,3.1165
2015-5-28,3.1741
2015-1-20,2.6241
2014-3-24,2.3242
2014-3-18,2.3516
2014-7-24,2.2198
2015-6-1,3.1783
2014-5-19,2.2105
2015-5-7,3.0415
2015-9-11,3.8692
2014-12-31,2.6556
2015-12-31,3.9042
2014-7-16,2.2187
2015-2-25,2.864
2016-2-15,3.9879
2014-6-12,2.2298
2014-3-26,2.3113
2015-3-16,3.2251
2015-1-12,2.6569
2014-8-19,2.2581
2014-8-12,2.2764
2014-7-11,2.2222
2014-4-1,2.2614
2015-8-17,3.4739
2014-9-19,2.365
2015-1-28,2.5791
2014-9-30,2.4504
2014-8-15,2.2684
2014-12-26,2.6806
2015-7-2,3.1166
2014-10-22,2.4775
2015-10-22,3.9354
2014-7-9,2.2128
2016-1-26,4.0961
2016-1-18,4.0358
2015-6-22,3.0751
2014-4-23,2.242
2014-11-5,2.5162
2014-7-29,2.2272
2014-12-29,2.6777
2015-9-14,3.8647
2014-5-12,2.2158
2014-8-4,2.2571
2015-9-15,3.8593
2014-9-1,2.2358
2014-4-22,2.2443
2016-1-19,4.0297
2014-11-27,2.5059
2014-6-16,2.2307
2015-12-22,3.9764
2014-8-20,2.2544
2016-2-2,3.9913
2015-5-21,3.0289
2014-6-10,2.229
2014-5-7,2.2276
2014-11-25,2.523
2014-7-18,2.2356
2015-4-2,3.1486
2014-5-21,2.2105
2014-9-16,2.3345
2015-11-26,3.76
2014-11-21,2.5384
2014-12-3,2.5601
2015-6-15,3.103
2014-7-8,2.2144
2015-4-20,3.0467
2015-5-14,3.0026
2014-7-14,2.217
2016-1-11,4.0147
2014-10-7,2.4032
2014-5-16,2.2104
2014-11-18,2.5961
2014-8-26,2.2742
2015-12-7,3.747
2015-8-20,3.4745
2015-8-12,3.482
2014-5-13,2.2095
2015-12-24,3.9511
2015-6-17,3.0983
2014-8-1,2.26
2015-1-6,2.7016
2014-12-10,2.5925
2015-1-13,2.6479
2015-4-23,3.0077
2015-11-18,3.7915
