id,value,region
Africa do Sul,4.6,Africa
Albânia,1.9,Europa
Alemanha,0.1,Europa
Angola,10.3,Africa
Antígua e Barbuda,1,Americas
Arábia Saudita,2.2,Asia
Argélia,4.8,Africa
Armênia,3.7,Asia
Austrália,1.5,Oceania
Áustria,0.8,Europa
Azerbaijão,4,Asia
Bahamas,1.9,Americas
Bahrain,1.8,Asia
Bangladesh,6.4,Asia
Barbados,0.5,Americas
Belarus,13.5,Europa
Bélgica,0.6,Europa
Benin,0.3,Africa
Bolívia,4.1,Americas
Botswana,3,Africa
Brasil,9,Comparativo
Burkina Faso,0.9,Africa
Burundi,5.6,Africa
Butão,7.2,Asia
Cabo Verde,0.1,Africa
Camarões,2.7,Africa
Camboja,1.2,Asia
Canadá,1.1,Americas
Catar,1.7,Asia
Cazaquistão,6.5,Asia
Chade,3.6,Africa
Chile,4.3,Americas
China,1.4,Asia
Colômbia,5,Americas
Comores,2,Africa
Congo,2,Africa
Coréia do Sul,0.7,Asia
Costa do Marfim,1.2,Africa
Costa Rica,0.8,Americas
Dinamarca,0.5,Europa
Djibouti,2.1,Africa
Egito,11,Africa
Emirados Árabes Unidos,4.1,Asia
Equador,4,Americas
Eritréia,9,Africa
Estados Unidos,0.1,Americas
Estônia,0.1,Europa
Etiópia,10.1,Africa
Fiji,2.8,Oceania
Filipinas,1.4,Asia
França,0.1,Europa
Gabão,0.1,Africa
Gâmbia,6.8,Africa
Gana,17.2,Africa
Georgia,4,Asia
Guatemala,2.4,Americas
Guiné,8.2,Africa
Guiné Equatorial,3.2,Africa
Guiné-Bissau,1.5,Africa
Haiti,7.5,Americas
Holanda,0.2,Europa
Honduras,3.2,Americas
Hong Kong,3,Asia
Iémen,30,Asia
Índia,4.9,Asia
Indonésia,6.4,Asia
Irã,12,Asia
Iraque,1.4,Asia
Islândia,1.6,Europa
Itália,0.1,Europa
Jamaica,4.7,Americas
Japão,0.8,Asia
Kiribati,1.4,Oceania
Kuweit,3.4,Asia
Laos,5.3,Asia
Lesoto,4.8,Africa
Letônia,0.2,Europa
Libéria,7.7,Africa
Líbia,8,Africa
Luxemburgo,0.1,Europa
Macau,4.6,Asia
Madagáscar,7.4,Africa
MalAsia,2.1,Asia
Malawi,21.9,Africa
Maldivas,1.4,Asia
Mali,1.4,Africa
Malta,1.2,Europa
Marrocos,1.6,Africa
Mauritânia,0.5,Africa
Mauritius,1.3,Africa
México,2.7,Americas
Moçambique,2.4,Africa
Moldova,9.6,Europa
Mongólia,5.9,Asia
Montenegro,1.6,Europa
Myanmar,11.5,Asia
Namíbia,3.4,Africa
Nepal,7.2,Asia
Nicarágua,4,Americas
Níger,1,Africa
Nigéria,9,Africa
Noruega,2.2,Europa
Nova Zelândia,0.3,Oceania
Omã,0.2,Asia
Palau,2.2,Oceania
Panamá,0.1,Americas
Papua Nova Guiné,6,Oceania
Paquistão,4.5,Asia
Paraguai,2.9,Americas
Peru,3.5,Americas
Portugal,0.5,Europa
Quênia,6.6,Africa
Quirguizistão,6.5,Asia
Reino Unido,0.1,Europa
República Centro Africana,5.4,Africa
República Checa,0.3,Europa
República Democrática do Congo,1,Africa
República Dominicana,0.8,Americas
Ruanda,2.5,Africa
Rússia,15.5,Europa
Samoa,0.9,Oceania
San Marino,0.4,Europa
São Tomé e Príncipe,5.3,Africa
Senegal,0.1,Africa
Serra Leoa,9,Africa
Sérvia,1.4,Europa
Seychelles,4,Africa
Sri Lanka,0.9,Asia
Suazilândia,5,Africa
Sudão,16.9,Africa
Sudão do Sul,52.8,Africa
Suécia,0.7,Europa
Suriname,6.9,Americas
Tajiquistão,5.8,Asia
Tanzânia,5.6,Africa
Timor-Leste,0.6,Asia
Togo,1.8,Africa
Trinidad e Tobago,4.7,Americas
Tunísia,4.9,Africa
Turquemenistão,5.5,Asia
Turquia,7.7,Europa
Tuvalu,3.3,Oceania
Ucrânia,48.7,Europa
Uganda,5.8,Africa
Uruguai,8.7,Americas
Uzbequistão,8.5,Asia
Vanuatu,3.3,Oceania
Venezuela,121.7,Americas
Vietnã,0.6,Asia
Zâmbia,10.1,Africa
MEDIANA,3.1,Comparativo
